Date,2022-01-07__HDFCBANK__KOTAKBANK,2022-04-11__JSWSTEEL__TATASTEEL,2022-04-11__HCLTECH__TECHM,2022-07-12__JSWSTEEL__TATASTEEL,2022-07-12__ICICIBANK__SBIN,2022-07-12__HCLTECH__TCS,2022-10-13__HDFCBANK__KOTAKBANK,2022-10-13__ICICIBANK__SBIN,2022-10-13__INFY__TCS,2023-01-12__TCS__WIPRO,2023-04-19__HINDALCO__TATASTEEL,2023-04-19__HINDALCO__JSWSTEEL,2023-04-19__TATASTEEL__VEDL,2024-04-29__HCLTECH__TCS,2024-07-31__HINDALCO__JSWSTEEL,2024-10-30__HINDALCO__JSWSTEEL,2025-05-07__HCLTECH__TECHM,2025-08-04__HCLTECH__TECHM,2025-11-06__BAJAJ_AUTO__HEROMOTOCO,2026-02-05__BAJAJ_AUTO__HEROMOTOCO,live_pair_count,portfolio_return,portfolio_equity
2022-01-07,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-10,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-11,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-12,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-13,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-14,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-17,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-18,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-19,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-20,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-21,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-24,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-25,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-27,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-28,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-01-31,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-01,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-02,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-03,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-04,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-07,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-08,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-09,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-10,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-11,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-14,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-15,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-16,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-17,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-18,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-21,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-22,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-23,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-24,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-25,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-02-28,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-02,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-03,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-04,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-07,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-08,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-09,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-10,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-11,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-14,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-15,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-16,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-17,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-21,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-22,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-23,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-24,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-25,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-28,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-29,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-30,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-03-31,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-04-01,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-04-04,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-04-05,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-04-06,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-04-07,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-04-08,-0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1.0
2022-04-11,-0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,1.0
2022-04-12,-0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,1.0
2022-04-13,-0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,1.0
2022-04-18,-0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,1.0
2022-04-19,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,1.0
2022-04-20,-0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,1.0
2022-04-21,-0.0016269300360667463,0.0,0.0,,,,,,,,,,,,,,,,,,3,-0.0005423100120222488,0.9994576899879778
2022-04-22,0.027498108425548187,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.009166036141849396,1.0086187552966568
2022-04-25,0.0061273578785649855,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0020424526261883283,1.0106788113222354
2022-04-26,-0.012405035692758134,0.0,0.0,,,,,,,,,,,,,,,,,,3,-0.004135011897586045,1.00649964241278
2022-04-27,0.0018491939619883848,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0006163979873294617,1.007120046766611
2022-04-28,-0.03133441162547213,0.0,0.0,,,,,,,,,,,,,,,,,,3,-0.010444803875157378,0.9966008753993945
2022-04-29,-0.022762662137892985,0.0,0.0,,,,,,,,,,,,,,,,,,3,-0.0075875540459643285,0.9890391123950462
2022-05-02,0.033695377866356735,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.011231792622118911,1.0001477946006319
2022-05-04,-0.03545681979711791,0.0,0.0,,,,,,,,,,,,,,,,,,3,-0.011818939932372636,0.988327107892752
2022-05-05,-0.03202560318492988,0.0,0.0,,,,,,,,,,,,,,,,,,3,-0.010675201061643292,0.9777765173013244
2022-05-06,-0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9777765173013244
2022-05-09,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9777765173013244
2022-05-10,-0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9777765173013244
2022-05-11,-0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9777765173013244
2022-05-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9777765173013244
2022-05-13,-0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9777765173013244
2022-05-16,-0.001552943502952593,0.0,0.0,,,,,,,,,,,,,,,,,,3,-0.000517647834317531,0.9772703734046969
2022-05-17,0.0187975030247883,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0062658343415961,0.9833937876714004
2022-05-18,-0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9833937876714004
2022-05-19,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9833937876714004
2022-05-20,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9833937876714004
2022-05-23,-0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9833937876714004
2022-05-24,-0.0003669340563952794,0.0,0.0,,,,,,,,,,,,,,,,,,3,-0.00012231135213175982,0.9832735074475523
2022-05-25,-0.010846980828296647,0.0,0.0,,,,,,,,,,,,,,,,,,3,-0.0036156602760988826,0.9797183244861338
2022-05-26,-0.029040842914506208,-0.0,0.0,,,,,,,,,,,,,,,,,,3,-0.00968028097150207,0.9702343758321788
2022-05-27,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-05-30,0.0,-0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-05-31,-0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-01,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-02,-0.0,-0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-03,-0.0,-0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-06,-0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-07,-0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-08,0.0,-0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-09,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-10,-0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-13,-0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-14,-0.0,-0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-15,-0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-16,-0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-17,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-20,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-21,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-22,-0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.9702343758321788
2022-06-23,0.0,-0.000743434556285742,0.0,,,,,,,,,,,,,,,,,,3,-0.00024781151876191403,0.9699939405779487
2022-06-24,0.0,-0.010136641431250155,-0.0,,,,,,,,,,,,,,,,,,3,-0.0033788804770833853,0.9667164469892408
2022-06-27,0.0,-0.0002621014171330588,0.0,,,,,,,,,,,,,,,,,,3,-8.736713904435294e-05,0.9666319877390002
2022-06-28,-0.0,-0.008158244697114065,0.0,,,,,,,,,,,,,,,,,,3,-0.0027194148990380214,0.964003314309656
2022-06-29,0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.964003314309656
2022-06-30,0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.964003314309656
2022-07-01,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.964003314309656
2022-07-04,0.0,-0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.964003314309656
2022-07-05,-0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.964003314309656
2022-07-06,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.0,0.964003314309656
2022-07-07,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.964003314309656
2022-07-08,-0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.964003314309656
2022-07-11,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,3,0.0,0.964003314309656
2022-07-12,,-0.0,-0.0007083400202438149,0.0,0.0,0.0,,,,,,,,,,,,,,,5,-0.00014166800404876297,0.9638667458842214
2022-07-13,,0.0,-0.007561693199677498,0.0,0.0,0.0,,,,,,,,,,,,,,,5,-0.0015123386399354996,0.9624090529606718
2022-07-14,,-0.0,-0.008975855495289732,0.0,0.0,0.0,,,,,,,,,,,,,,,5,-0.0017951710990579464,0.9606813640433252
