test_start,test_end,stock_a,stock_b,sector,cluster,correlation,cointegration_pvalue,spread_adf_pvalue,hedge_ratio,half_life,pair_score
2022-01-07,2022-07-11,HDFCBANK,KOTAKBANK,BANKING,2,0.6136838105458418,0.02619129572230987,0.00620034329387552,0.8976517813538234,8.792508599020195,-0.3090199954215204
2022-04-11,2022-10-12,HCLTECH,TECHM,IT,0,0.602515445851519,0.07104146158642279,0.020694329461332775,0.43379928960304204,16.88907370889486,0.3077636325746044
2022-04-11,2022-10-12,JSWSTEEL,TATASTEEL,METALS,1,0.8221036709128676,0.01518064009512729,0.0034164941195757594,1.593181724170985,7.31647073866623,-0.606377202376192
2022-07-12,2023-01-11,HCLTECH,TCS,IT,0,0.6354086053437833,0.05338981606278302,0.014714463933891917,0.3684400950383021,8.6569051487147,-0.030505155888571334
2022-07-12,2023-01-11,JSWSTEEL,TATASTEEL,METALS,4,0.8593868369669009,0.001625525642420425,0.0002781876814662802,3.4555572801470955,14.090938108102725,-0.7604782553362432
2022-10-13,2023-04-18,HCLTECH,WIPRO,IT,2,0.7014365747220073,0.011044167333831567,0.0023377304929575074,1.7850703327699105,8.330064400465636,-0.5505829979141317
2022-10-13,2023-04-18,HDFCBANK,KOTAKBANK,BANKING,2,0.6397623451061615,0.02709902983607368,0.006569034595344145,1.4525194944363395,11.126334453466791,-0.3265382538900565
2022-10-13,2023-04-18,ICICIBANK,SBIN,BANKING,2,0.6494217440096746,0.05015020719700017,0.013688983753923387,1.8696268473746143,7.9779040920152635,-0.06641080261820803
2023-01-12,2023-07-18,TCS,WIPRO,IT,4,0.6907921091870645,0.08973021287218325,0.02764372401665958,4.854980028494982,9.597780491116492,0.29748558176241685
2023-04-19,2023-10-18,TECHM,WIPRO,IT,0,0.6800589060835583,0.08700574100662378,0.02618230234983853,2.1786552814697724,13.654251777572217,0.34163044658363945
2023-04-19,2023-10-18,HINDALCO,TATASTEEL,METALS,2,0.7649163471685091,0.0013040154867195544,0.0002171957682348741,4.8185464635042,5.37770322478811,-0.6587786694923712
2023-04-19,2023-10-18,HINDALCO,JSWSTEEL,METALS,2,0.684968644373475,0.007085992793442346,0.0013978795175546978,0.5439340616182289,10.291145936563954,-0.6040921591551085
2023-04-19,2023-10-18,TATASTEEL,VEDL,METALS,2,0.6632285035073421,0.08781843875130896,0.026900966734944798,0.280294000233857,9.641273869972213,0.3028333068111376
2024-04-29,2024-10-29,HCLTECH,TCS,IT,0,0.6490391225223248,0.07928207752015809,0.023695291331315475,0.6246813860036149,9.128234300246438,0.23230284066827375
2024-07-31,2025-01-29,HINDALCO,JSWSTEEL,METALS,2,0.6029758983880863,0.06775369848459827,0.019287553956319856,1.3569062321203882,7.753291419609654,0.17735791993466293
2024-10-30,2025-05-06,HINDALCO,JSWSTEEL,METALS,1,0.6072673024962622,0.0650165243005363,0.01869415390891512,1.0471643476648949,6.2196380086885545,0.17458764206207505
2025-05-07,2025-11-04,HCLTECH,TECHM,IT,4,0.6617959530963762,0.0314472153459133,0.007888747874129723,1.1390648913743437,5.937348056922433,-0.2424045171533027
2025-08-04,2026-02-04,HCLTECH,TECHM,IT,2,0.6882515751257565,0.09088654520913875,0.028039209480126285,1.052543969205714,9.014921181173808,0.32443308178253366
