test_start,test_end,stock_a,stock_b,sector,cluster,correlation,cointegration_pvalue,spread_adf_pvalue,hedge_ratio,half_life,pair_score
2022-01-07,2022-07-11,HDFCBANK,KOTAKBANK,BANKING,0,0.6136839452707292,0.026191125450121953,0.006200296323123107,0.8976515961492012,8.7925125495279,-0.30902205279069833
2022-04-11,2022-10-12,JSWSTEEL,TATASTEEL,METALS,1,0.8221036475245309,0.015180632518985973,0.003416492165898341,1.5931823293923835,7.316471785983418,-0.6063772815566445
2022-04-11,2022-10-12,HCLTECH,TECHM,IT,2,0.6025158068102463,0.07103987864078576,0.020693774103668707,0.4256502848397715,16.88912029521096,0.30774670781283664
2022-07-12,2023-01-11,JSWSTEEL,TATASTEEL,METALS,0,0.8593867737724947,0.0016255131997398994,0.00027818538354721923,3.4555576479881167,14.090933641867906,-0.7604784127870959
2022-07-12,2023-01-11,ICICIBANK,SBIN,BANKING,1,0.6338869476281808,0.054569060285726154,0.015128665546884865,1.1139933649032272,8.650951638724555,-0.015829380904755733
2022-07-12,2023-01-11,HCLTECH,TCS,IT,2,0.6354092508863445,0.053390334992415064,0.014714634247996728,0.3664206725480451,8.656926634479614,-0.030500530907795927
2022-10-13,2023-04-18,HDFCBANK,KOTAKBANK,BANKING,0,0.6397626252894841,0.027099022003313728,0.006569032310969732,1.4525194719406613,11.126347376166592,-0.32653836080010584
2022-10-13,2023-04-18,ICICIBANK,SBIN,BANKING,0,0.6494211212759923,0.05014981551378855,0.013688856742480607,1.9033267572851722,7.977890022928152,-0.06641419636922802
2022-10-13,2023-04-18,INFY,TCS,IT,0,0.7308675935628351,0.06243213458228397,0.017648690203420157,0.5816299448844329,11.293690246004383,-0.027726372209647313
2023-01-12,2023-07-18,TCS,WIPRO,IT,2,0.6907925519510396,0.08972973406361079,0.027643543921451647,4.79003270930054,9.597768860584745,0.29748004323772825
2023-04-19,2023-10-18,HINDALCO,TATASTEEL,METALS,1,0.7649161905173463,0.0013040189010695307,0.00021719639879073295,4.818546234903522,5.37770123501118,-0.6587784370105024
2023-04-19,2023-10-18,HINDALCO,JSWSTEEL,METALS,1,0.6849685151878018,0.007086040615528042,0.0013978902492931614,0.5439340223025824,10.291147770084228,-0.6040914828829573
2023-04-19,2023-10-18,TATASTEEL,VEDL,METALS,1,0.6632287989472089,0.08781853082633373,0.02690100118947379,0.28029398972689146,9.64127922410664,0.302833928402417
2024-04-29,2024-10-29,HCLTECH,TCS,IT,1,0.6490407858645177,0.0792830636983402,0.02369564886121949,0.6212575240846846,9.128264887849229,0.2323114999455582
2024-07-31,2025-01-29,HINDALCO,JSWSTEEL,METALS,2,0.6029758983880863,0.06775369848459827,0.019287553956319856,1.3569062321203882,7.753291419609654,0.17735791993466293
2024-10-30,2025-05-06,HINDALCO,JSWSTEEL,METALS,1,0.6072673024962622,0.0650165243005363,0.01869415390891512,1.0471643476648949,6.2196380086885545,0.17458764206207505
2025-05-07,2025-11-04,HCLTECH,TECHM,IT,1,0.6617956641595698,0.03144727020641058,0.007888763933914598,1.1176672182323713,5.937342581266928,-0.24240352191905876
2025-08-04,2026-02-04,HCLTECH,TECHM,IT,4,0.6882513314580316,0.0908860757882411,0.02803903247310787,1.0327716533522109,9.014909313907216,0.3244283375655586
2025-11-06,2026-05-11,BAJAJ_AUTO,HEROMOTOCO,AUTO,0,0.7070354313580551,0.021374040003850212,0.004592220487681765,0.6756087205612132,13.446367827053956,-0.41059101331542863
2026-02-05,2026-05-26,BAJAJ_AUTO,HEROMOTOCO,AUTO,3,0.6685048221876456,0.014639147098402274,0.0031626807585693824,0.6333334231432299,11.546006213693653,-0.4817051846540416
